filename,ab,abbr,add,addrLine,address,cell,choice,closer,corr,date,dateline,del,div1,div2,expan,figDesc,figure,fw,gap,head,hi,item,lb,list,note,opener,orgName,orig,p,pb,persName,postscript,ref,reg,row,rs,salute,sic,signed,stamp,table,unclear
correspondence:wfc.css00501.xml,0,0,0,0,0,0,3,1,3,0,1,1,1,0,0,0,2,0,0,0,3,0,7,0,1,1,0,0,3,1,1,0,5,0,0,0,2,3,1,0,0,0
correspondence:wfc.css00474.xml,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,7,0,1,1,2,0,1,2,3,0,6,0,0,0,2,1,1,0,0,0
correspondence:wfc.css00487.xml,0,0,1,0,0,0,8,1,8,0,1,0,1,0,0,0,4,0,0,0,4,0,13,0,2,1,0,0,7,2,3,0,3,0,0,0,2,8,1,0,0,0
correspondence:wfc.css00481.xml,0,0,0,0,0,0,3,1,3,0,1,0,1,0,0,0,2,0,0,0,3,0,7,0,1,1,0,0,5,1,1,0,3,0,0,0,1,3,0,0,0,0
correspondence:wfc.css00477.xml,0,0,0,0,0,0,5,1,5,0,1,0,1,0,0,0,4,0,0,0,7,0,13,0,2,1,0,0,7,2,3,0,7,0,0,0,2,5,1,0,0,0
correspondence:wfc.css00508.xml,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,3,1,2,0,3,0,0,0,1,1,1,0,0,0
correspondence:wfc.css00500.xml,0,0,3,0,0,0,10,1,10,0,1,2,1,0,0,0,4,0,0,0,9,0,13,0,2,1,1,0,7,3,1,0,10,0,0,0,0,10,1,0,0,0
correspondence:wfc.css00021.xml,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,1,2,0,1,0,0,0,2,0,1,0,0,0
correspondence:wfc.css00482.xml,0,0,1,0,0,0,5,1,5,0,1,0,1,0,0,0,2,0,0,0,3,0,7,0,2,1,0,0,5,2,4,1,4,0,0,0,1,5,1,0,0,0
correspondence:wfc.css00504.xml,0,0,0,0,0,0,2,2,2,0,1,0,1,0,0,0,2,0,0,0,2,0,3,0,2,1,0,0,2,2,3,1,3,0,0,0,2,2,2,0,0,0
correspondence:wfc.css00582.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,9,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00506.xml,0,0,0,0,0,0,16,1,16,0,1,0,1,0,0,0,2,0,0,0,3,0,7,0,1,1,0,0,3,2,2,0,9,0,0,0,1,16,1,0,0,0
correspondence:wfc.css00509.xml,0,0,0,0,0,0,10,1,10,0,1,1,1,0,0,0,4,0,0,0,2,0,13,0,2,1,1,0,5,2,3,0,6,0,0,0,2,10,1,0,0,0
correspondence:wfc.css00495.xml,0,0,1,0,0,0,2,1,2,0,1,1,1,0,0,0,2,0,0,0,3,0,7,0,1,1,0,0,7,1,5,1,4,0,0,0,1,2,1,0,0,0
correspondence:wfc.css00491.xml,0,0,1,0,0,0,5,2,5,0,1,1,1,0,0,0,6,0,0,0,5,0,19,0,3,1,1,0,14,3,4,1,6,0,0,0,1,5,2,0,0,0
correspondence:wfc.css00502.xml,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,2,0,0,0,2,0,7,0,1,1,1,0,3,1,1,0,5,0,0,0,2,1,1,0,0,0
correspondence:wfc.css00483.xml,0,0,1,0,0,0,10,1,10,0,1,4,1,0,0,0,2,0,0,0,6,0,18,0,3,1,0,0,5,3,3,0,4,0,0,0,2,10,1,0,0,0
