filename,abbr,add,addrLine,address,argument,author,back,bibl,body,byline,cell,choice,cit,closer,corr,date,dateline,del,div,emph,epigraph,figure,floatingText,foreign,gap,head,hi,item,l,label,lb,lg,list,mentioned,milestone,name,note,opener,p,pb,q,ref,row,salute,seg,sic,signed,sp,speaker,stage,table,term,title,trailer,unclear
VAC7072.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7700.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7759.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7375.xml,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,7,67,0,3,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,449,39,3,0,0,1,0,0,4,0,0,0,0,0,1,0,0
VAC6173.xml,4,0,38,38,0,0,0,0,4,0,0,0,0,43,0,2,74,0,102,165,0,1,4,43,0,91,41,0,6,0,2,3,0,0,1,0,0,72,1558,101,9,0,0,38,0,0,51,0,0,0,0,0,28,0,2
VAC6630.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5874.xml,0,0,0,0,24,0,0,0,1,0,0,33,0,2,33,0,0,0,27,8,1,0,1,4,0,28,2,0,19,0,0,2,0,0,0,0,0,0,1008,46,2,0,0,0,0,33,1,0,0,0,0,0,0,0,16
VAC7549.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5646.xml,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,22,14,0,0,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1069,105,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0
VAC7816.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6261.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,35,215,0,0,1,10,0,66,1,0,48,0,0,12,0,0,0,0,0,1,1789,177,22,0,0,2,0,0,1,0,0,0,0,0,2,0,0
VAC6491.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7239.xml,2,0,2,2,0,0,0,0,6,0,0,6,0,10,6,0,1,0,149,140,1,0,6,15,0,174,26,0,22,0,6,6,0,0,2,0,0,3,1850,247,16,0,0,14,0,6,10,0,0,0,0,0,3,0,0
VAC8393.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC8329.xml,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,11,13,10,4,0,7,0,17,1,0,73,0,0,19,0,0,0,0,0,0,932,47,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VAC7126.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5832.xml,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,60,124,0,0,1,140,0,60,12,0,100,0,0,28,0,0,3,0,3,1,4513,106,44,6,0,2,0,0,1,0,0,0,0,0,16,0,4
VAC7296.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,30,17,0,0,1,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1670,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VAC6510.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7410.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,19,62,0,0,1,1,0,38,13,8,0,0,0,0,1,0,1,0,0,0,1631,65,2,0,0,1,0,0,1,0,0,0,0,0,0,0,5
VAC6761.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7592.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5757.xml,1,0,1,1,1,0,0,1,2,0,0,18,1,11,18,0,3,0,60,311,1,0,2,16,0,85,231,0,19,0,0,4,0,0,3,0,39,2,2756,188,6,78,0,0,0,18,9,0,0,0,0,0,27,0,0
VAC7784.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6969.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6192.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7797.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6877.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7714.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5988.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,7,14,0,0,1,3,0,7,2,12,6,0,0,1,2,0,0,0,1,1,103,9,4,2,0,1,0,0,3,0,0,0,0,0,0,0,0
